VO2_ins_wl_n;VO2_ins_n;VO2_ins_wl_k;VO2_ins_k;VO2_met_wl_n;VO2_met_n;VO2_met_wl_k;VO2_met_k;vo2IR_ins_wl_n;vo2IR_ins_n;vo2IR_met_wl_n;vo2IR_met_n;vo2IR_met_wl_k;vo2IR_met_k;vo2IR_ins_wl_k;vo2IR_ins_k;Ag_wl_n;Ag_n;Ag_wl_k;Ag_k;Au9nm_wl_n;Au9nm_n;Au9nm_wl_k;Au9nm_k;SiO2_thin_wl_n;SiO2_thin_n;SiO2_thin_wl_k;SiO2_thin_k;SiO2_fused_wl_n;SiO2_fused_n;SiO2_fused_wl_k;SiO2_fused_k;SiO2_wl_n;SiO2_n;TiO2_alpha_wl_n;TiO2_alpha_n;TiO2_A_wl_n;TiO2_A_n;TiO2_alpha_wl_k;TiO2_alpha_k;TiO2_A_wl_k;TiO2_A_k;Cr2O3_wl_n;Cr2O3_n;Cr2O3_wl_k;Cr2O3_k;Si3N4_wl_n;Si3N4_n;Si3N4_wl_k;Si3N4_k;CeO2_wl_n;CeO2_n;CeO2_wl_k;CeO2_k;PET_wl_n;PET_n;PET_wl_k;PET_k;Eye_wl;Eye_sensitivity
267,297;2,261;278,336;0,995;266,749;2,173;270,322;0,88;298,59;1,528;304,88;1,5227;293,9;0,80278;300,61;0,01;190,77;1,017;190,77;1,1;300;1,566;300;1,627;250;1,517462;250;0,00026;210;1,53835762;7000;0,00014657;301,572;1,441;120,181141;1,126620101;301,097;2,734;120,181141;0,898838687;300,745;0,663;308;2,33;304;0,453;310;2,175939468;310;0;256,7;2,229;264;0,9434;400;1,61027;400;0,00000231;390;0,0001
280,39;2,295;332,648;1,041;282,386;2,185;288,419;0,917;313,04;1,5822;321,08;1,545;303,48;0,9762;310,93;0,01;191,36;1,02;191,36;1,104;310;1,448;310;1,714;255;1,515228;255;0,00024;217,4;1,530846431;7030,4;0,00019034;304,18;1,444;120,874955;1,124382098;303,943;2,738;120,874955;0,907024637;301,198;0,653;314;2,32;305;0,433;361,9;2,124452685;361,9;0;271,1;2,251;256,2;0,905;410;1,60595;410;0,00000199;400;0,0004
291,492;2,352;344,675;0,999;300,483;2,227;348,742;1,027;325,96;1,6408;338,3;1,6005;316,06;1,053;326,32;0,01;191,95;1,023;191,95;1,108;320;1,45;320;1,884;260;1,513136;260;0,000222;225,1;1,524078907;7061;0,00024633;307,026;1,44;121,572773;1,12223231;307,026;2,757;121,572773;0,915711275;301,648;0,64;323;2,32;308;0,414;413,9;2,093455467;413,9;0;277,1;2,292;269,2;0,9922;420;1,60212;420;0,00000176;410;0,0012
303,618;2,433;356,708;0,965;319,821;2,286;366,839;0,996;338,78;1,7189;353,72;1,6618;332,04;1,0983;345,07;0,01;192,55;1,026;192,55;1,111;330;1,689;330;1,99;265;1,511173;265;0,000206;233;1,518041768;7091,9;0,00031776;309,871;1,444;122,274621;1,12020412;309,871;2,767;122,274621;0,924913811;302,195;0,629;330;2,3;311;0,409;465,8;2,073192134;465,8;0;283,8;2,388;278,8;1,121;430;1,59847;430;0,00000159;420;0,004
315,742;2,512;365,737;0,944;331,266;2,317;381,92;0,964;351,58;1,7995;369,85;1,7297;356,36;1,1822;371,31;0,01;193,15;1,029;193,15;1,115;340;1,899;340;1,832;270;1,509329;270;0,000191;241,2;1,512572116;7123,1;0,00040858;312,717;1,444;122,98052;1,118333711;312,717;2,768;122,98052;0,934645892;302,964;0,616;336;2,3;314;0,39;517,8;2,059047227;517,8;0;281,5;2,344;273,1;1,048;440;1,59528;440;0,00000148;430;0,0116
327,87;2,594;392,73;0,765;338,186;2,371;429,644;0,79;364,42;1,8757;386,71;1,8073;385,28;1,1869;400,87;0,01;193,75;1,032;193,75;1,118;350;1,934;350;1,737;275;1,507595;275;0,000179;249,7;1,507609587;7154,6;0,0005238;315,799;1,438;123,690494;1,116660119;315,562;2,764;123,690494;0,944919268;303,732;0,604;343;2,29;318;0,37;569,7;2,048735101;569,7;0;286,8;2,442;285,4;1,209;450;1,59247;450;0,0000014;440;0,023
340,003;2,684;404,77;0,74;347,395;2,4;441,572;0,732;376,32;1,9525;404,34;1,8589;416,73;1,2224;429,87;0,01;194,36;1,035;194,36;1,122;360;1,853;360;1,646;280;1,505961;280;0,000167;258,5;1,503100963;7186,3;0,00066963;318,408;1,435;124,404567;1,115225264;318,408;2,757;124,404567;0,955743457;304,501;0,591;351;2,28;323;0,349;621,6;2,040907103;621,6;0;288,2;2,491;297,9;1,248;460;1,58988;460;0,00000137;450;0,038
352,122;2,756;416,797;0,697;354,775;2,459;449,88;0,688;389,57;2,0329;424,3;1,943;450,84;1,1646;444,42;0,01;194,97;1,038;194,97;1,125;370;1,799;370;1,636;285;1,504421;285;0,000157;267,6;1,498999219;7218,4;0,00085394;321,253;1,435;125,122762;1,11407395;321,49;2,733;125,122762;0,967125376;305,269;0,578;356;2,26;326;0,333;673,6;2,034760644;673,6;0;292,4;2,584;303,5;1,193;470;1,58716;470;0,00000135;460;0,06
364,246;2,834;425,829;0,68;364,764;2,519;481,454;0,509;400,72;2,116;444,43;2,0459;483,61;1,0364;459,63;0,01;195,58;1,041;195,58;1,129;380;1,773;380;1,639;290;1,502966;290;0,000148;277;1,495262719;7250,7;0,0010867;324,099;1,435;125,845104;1,113253851;324,099;2,715;125,845104;0,979068951;306,038;0,565;363;2,25;328;0,326;725,5;2,029817391;725,5;0;291;2,526;309,8;1,101;480;1,58496;480;0,00000133;470;0,091
376,331;2,864;446,778;0,485;372,872;2,57;499,551;0,475;414,99;2,2146;465,65;2,1079;499,88;0,93593;478,9;0,01;196,2;1,044;196,2;1,132;390;1,75;390;1,637;295;1,50159;295;0,000139;286,8;1,491821503;7283,3;0,0013808;326,944;1,435;126,571616;1,112815469;326,944;2,698;126,571616;0,991574714;306,806;0,552;370;2,24;332;0,31;777,5;2,025726482;777,5;0;297,9;2,75;313;1,037;490;1,58304;490;0,00000135;480;0,139
